run_id,experiment_name,protocol_name,status,start_time,duration_s,user,source_name,git_commit,git_dirty,git_branch,model_type,dataset_version,config_path,artifacts_dir,primary_metric_name,primary_metric_value,notes
retro_EXP-001,EXP-001_rsi_behavior_analysis,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,analysis,,,experiments/layer1/rsi/EXP-001,win_rate,99.7,RSI oversold/overbought bounce rate ~99%. Tight stops kill 70-86% of winners.
retro_EXP-002,EXP-002_rsi_ma_trend_filter,,REJECTED,2026-02-04,0.0,raviranjan,,,,,analysis,,,experiments/layer1/rsi/EXP-002,win_rate,99.7,REJECTED. MA filter removes 97% signals for 0.3% gain. RSI works WITH and AGAINST trend.
retro_EXP-003,EXP-003_rsi_failure_deep_dive,,COMPLETE,2026-02-04,0.0,raviranjan,,,,,analysis,,,experiments/layer1/rsi/EXP-003,win_rate,98.3,Failures from weak signals (low volume/momentum). Filtering loses 15-40 good signals per failure.
retro_EXP-004,EXP-004_sma200_regime_filter,,VALIDATED,2026-02-04,0.0,raviranjan,,,,,backtest,,,experiments/layer1/rsi/EXP-004,n_trades,266,"VALIDATED. SMA200 filter: LONG in bull + SHORT in bear = 266 signals, 1 failure, 0 account killers."
retro_EXP-005,EXP-005_trailing_stop_optimization,,VALIDATED,2026-02-04,0.0,raviranjan,,,,,backtest,,,experiments/layer1/rsi/EXP-005,avg_winner_bps,18.2,VALIDATED. LONG 20bps TS=+18.2 gross (+10.2 net). SHORT 30bps TS=+23.2 gross (+15.2 net).
retro_SETUP-V1,SETUP-V1_trading_setup_locked,,LOCKED,2026-02-04,0.0,raviranjan,,,,,backtest,,,experiments/layer1/rsi,profit_factor,1.97,"LOCKED. RSI<20+Bull OR RSI>80+Bear. TS 20/30bps. 266 trades, 53.8% win, +3024 bps."
retro_EXP-008,EXP-008_range_support_strategy,,FAILED,2026-02-05,0.0,raviranjan,,,,,backtest,,,,profit_factor,1.27,"FAILED. 774 trades, PF 1.27 but -118 bps in 2025. SHORT loses badly. V1.2 far superior."
retro_EXP-009,EXP-009_remove_time_exit,,REJECTED,2026-02-05,0.0,raviranjan,,,,,backtest,,,,profit_factor,1.63,REJECTED. Removing TIME_EXIT worsens results. +3250→+2177 bps. TIME_EXIT protects portfolio.
retro_EXP-010,EXP-010_ema_crossover_strategy,,FAILED,2026-02-05,0.0,raviranjan,,,,,backtest,,,,profit_factor,1.23,"FAILED. 7 EMA pairs, all ~50/50. High volume but PF 1.13-1.47. Degrades to 1.04-1.16 in 2025."
retro_EXP-011,EXP-011_four_new_strategy_screen,,COMPLETE,2026-02-07,0.0,raviranjan,,,,,backtest,,,experiments/layer1/rsi/EXP-011,profit_factor,1.43,"Volume Spike best: 2243 trades, PF 1.43, +13562 bps. Vol Squeeze/Candlestick/MACD also tested."
