exp_id,date,category,strategy_name,status,timeframe,symbol,total_trades,win_rate_pct,total_return_pct,avg_winner_bps,avg_loser_bps,profit_factor,notes
EXP-001,2026-02-04,rsi,RSI Behavior Analysis,COMPLETE,15m,BTCUSDT,596,99.7,N/A,72.8,N/A,N/A,RSI oversold/overbought bounce/drop rates ~99%. Failures are NOT trend-related. Tight stops kill 70-86% of winners.
EXP-001,2026-02-04,ma,MA Behavior Analysis,COMPLETE,15m,BTCUSDT,N/A,98-99,N/A,N/A,N/A,N/A,All MA types (SMA/EMA/WMA) and periods show ~98-99% continuation. No differentiation between types.
EXP-002,2026-02-04,rsi,RSI + MA Trend Filter,COMPLETE,15m,BTCUSDT,596,99.7,N/A,72.8,N/A,N/A,HYPOTHESIS REJECTED. MA filter removes 97% of signals for 0.3% improvement. RSI works both WITH and AGAINST trend.
EXP-003,2026-02-04,rsi,RSI Failure Deep Dive,COMPLETE,15m,BTCUSDT,664,98.3,N/A,N/A,N/A,N/A,Failures caused by WEAK signals (low volume/momentum). Filter not recommended - loses 15-40 good signals per failure avoided.
EXP-004,2026-02-04,rsi,Path Analysis + Options,COMPLETE,15m,BTCUSDT,266,99.6,N/A,N/A,N/A,N/A,200 SMA FILTER: LONG in BULL + SHORT in BEAR = 266 signals 1 failure. That 1 failure recovers in 12.5h. 100% of failures recover. 0 account killers. Before filter: 1260 signals 13 failures 1 never recovers.
EXP-005,2026-02-04,rsi,Exit Strategy Analysis,COMPLETE,15m,BTCUSDT,266,N/A,N/A,18.2,N/A,N/A,TRAILING STOP WORKS: LONG 20bps TS=+18.2bps exit (+10.2 net). SHORT 30bps TS=+23.2bps exit (+15.2 net). Without TS only +6.5/+9.6. MFE pattern: LONG >20bps at Bar1 continues. SHORT >30bps at Bar1 reverses.
SETUP-V1,2026-02-04,rsi,Trading Setup V1,LOCKED,15m,BTCUSDT,266,53.8,30.24,43.0,-25.5,1.97,LOCKED. Entry: RSI<20+Bull OR RSI>80+Bear. Exit: 20/30bps trailing stop. 2yr backtest: +3024bps net. ~1 trade/3 days. 17%/year return.
EXP-006,2026-02-05,rsi,V1.2 LONG WHEN Filters,COMPLETE,15m,BTCUSDT,202,56.9,32.50,47.5,-25.4,2.47,V1.2: Add ATR>=25pctl + EMA sep>=0.5% to LONG only. SHORT unchanged. LONG PF 1.47->2.29. Filtered out 64 LONG trades (43.8% win -226bps). Kept 62 LONG trades (54.8% win +1047bps). Total +3250bps vs V1 +3024bps. 2025 consistent.
EXP-007,2026-02-05,rsi,V1.3 SHORT WHEN Filters,COMPLETE,15m,BTCUSDT,N/A,N/A,N/A,N/A,N/A,N/A,HYPOTHESIS REJECTED. Tested 7 SHORT filter combos on V1.2. ALL reduce total profit. Best: V1.3b (EMA>=0.5%) = -84 bps vs V1.2. Filtered SHORT trades had 56.7% win rate and +341 bps - these are GOOD trades. SHORT is robust in ALL conditions. Keep V1.2 unchanged.
EXP-008,2026-02-05,rsi,Range Support Strategy,COMPLETE,15m,BTCUSDT,774,43.2,16.38,23.1,-13.8,1.27,Range Position as standalone strategy. Directional accuracy 57-59% OOS but translates poorly to profit. Best: LB200 <5% LONG only = +1638 bps PF 1.27 but 2025 loses -118 bps. SHORT side loses badly (-10K to -17K bps). Too many signals (774 vs V1.2's 202). V1.2 remains far superior (+3250 bps PF 2.47).
EXP-009,2026-02-05,rsi,Remove TIME_EXIT,COMPLETE,15m,BTCUSDT,200,54.5,21.77,N/A,N/A,1.63,HYPOTHESIS REJECTED. Removing TIME_EXIT makes things WORSE. V1.2 bar10=+3250 bps PF 2.47 vs no-limit=+2177 bps PF 1.63. Of 21 TIME_EXIT losers only 6 became winners (29%). 4 trades became catastrophic (-222 to -733 bps). TIME_EXIT PROTECTS the portfolio.
EXP-010,2026-02-05,ema,EMA Crossover Strategy,COMPLETE,15m,BTCUSDT,2010,46.6,80.20,45.5,-32.2,1.23,Tested 7 EMA pairs (5/13 8/21 9/21 9/50 12/26 20/50 50/200). All have ~50/50 directional accuracy. High total bps from volume (2000+ trades) but PF only 1.13-1.47. 2025 degrades to PF 1.04-1.16. V1.2 far superior per-trade quality (PF 2.47).
EXP-014,2026-02-07,rsi,Level-Based Counter-Trend Entry,COMPLETE,15m,BTCUSDT,220,60.0,52.67,N/A,N/A,3.46,Tested 4 options for missed re-entries after BEAR_LONG/BULL_SHORT exit. Option B (level-based) chosen: +352 bps over V1.3.1. 9 new trades 7/9 winners. RSI saturates at extremes - cross timing decouples from price. Implemented as V1.3.2.
